City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
512,Kinkala,CG,69.8,few clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
516,Diofior,SN,69.8,clear sky,14.1833,-16.6667,Souimanga Lodge
519,Puerto Suarez,BO,77.5,clear sky,-18.95,-57.8,Hotel casa real
520,Seminole,US,62.01,clear sky,28.7086,-81.2081,WHITNEY-WOLCOTT HOUSE ON LAKE CHARM
523,Luangwa,ZM,72.27,overcast clouds,-15.6167,30.4167,Gerasimos Safari Lodge
525,Nkhotakota,MW,73.27,light rain,-12.9274,34.2961,Sitima Inn
526,San Martin,AR,62.6,light intensity drizzle,-33.080999999999996,-68.4681,Finca Vivencias
529,Ahipara,NZ,70.07,clear sky,-35.1667,173.1667,Ahipara Holiday Park
533,Cockburn Town,TC,73.4,few clouds,21.4612,-71.1419,Osprey Beach Hotel
535,Bontang,ID,78.31,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
537,Linhai,CN,61.0,broken clouds,28.85,121.1167,Linhai S&N International Hotel
539,Rusape,ZW,60.17,overcast clouds,-18.5278,32.1284,Surrey Lodge
544,Houston,US,70.0,overcast clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
545,Port-Gentil,GA,76.87,overcast clouds,-0.7193,8.7815,Fengshui Residence
549,Esperance,AU,78.8,clear sky,-33.8667,121.9,Hospitality Esperance
552,Nanakuli,US,78.8,clear sky,21.3906,-158.1547,Camp Pālehua
561,Mount Hagen,PG,73.08,overcast clouds,-5.8581,144.2274,Highlander Hotel Mt Hagen PNG
565,Santa Fe,AR,68.0,overcast clouds,-31.6333,-60.7,Conquistador Hotel
569,Ntoum,GA,75.2,broken clouds,0.3833,9.7833,Hôtel Santa Barbara
575,Mount Gambier,AU,71.6,scattered clouds,-37.8333,140.7667,Commodore on the Park
577,Te Anau,NZ,65.88,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
582,Sinnamary,GF,77.63,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
583,Parana,AR,68.0,overcast clouds,-31.732,-60.5238,Howard Johnson Plaza Hotel Mayorazgo
585,Maceio,BR,75.2,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
586,Cidreira,BR,75.61,overcast clouds,-30.1811,-50.2056,Hotel Castelo
587,Pauini,BR,74.25,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
589,Jimeta,NG,70.09,clear sky,9.2833,12.4667,Yola International Hotel
590,Rio Grande Da Serra,BR,77.0,clear sky,-23.7442,-46.3983,Pousada e Restaurante Recanto dos Amigos.
591,Neiafu,TO,77.0,light rain,-18.65,-173.9833,Mystic Sands
593,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
597,Marsh Harbour,BS,66.97,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
605,Jaguarari,BR,67.78,overcast clouds,-10.2639,-40.1958,Hotel Quintal De Casa
608,Port Lincoln,AU,69.01,clear sky,-34.7333,135.8667,Port Lincoln Hotel
615,Omboue,GA,74.75,overcast clouds,-1.5746,9.2618,Hotel Olako
616,Barra Do Garcas,BR,73.92,broken clouds,-15.89,-52.2567,Hotel Pousada Tropical
618,Mineros,BO,76.14,broken clouds,-17.1167,-63.2333,Residencial Imperial
620,Sena Madureira,BR,74.07,light rain,-9.0656,-68.6569,Hotel Central
621,Ruston,US,62.6,broken clouds,32.5232,-92.6379,"Country Inn & Suites by Radisson, Ruston, LA"
626,Nata,PA,73.99,scattered clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
627,Minab,IR,62.17,clear sky,27.1467,57.0801,Bam campground
628,Kismayo,SO,74.93,few clouds,-0.3582,42.5454,Agan-Hotel
629,Antofagasta,CL,66.2,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
634,Quarai,BR,70.84,overcast clouds,-30.3875,-56.4514,Hotel Casino San Eugenio del Cuareim
636,Santa Rita,BR,77.0,few clouds,-7.1139,-34.9781,Infinity Motel
639,Yokadouma,CM,68.18,overcast clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
644,Gunjur,GM,68.0,clear sky,13.2019,-16.7339,Kuba Lodge
645,Inongo,CD,72.19,light rain,-1.95,18.2667,Hotel Du Lac
646,Oistins,BB,78.8,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
650,Andros Town,BS,68.0,few clouds,24.7,-77.7667,Hanks place
660,Kayunga,UG,64.87,broken clouds,0.7025,32.8886,Katikomu Hotel
665,George,ZA,62.6,clear sky,-33.963,22.4617,Protea Hotel by Marriott George King George
669,Khamgaon,IN,65.44,clear sky,20.6833,76.5667,Hotel Gurukrupa Inn
673,Bubaque,GW,78.78,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
681,The Valley,AI,77.0,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
685,San Patricio,US,73.4,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
690,Santiago,CL,64.4,broken clouds,-33.4569,-70.6483,Sheraton Santiago Hotel and Convention Center
694,Angoche,MZ,77.14,overcast clouds,-16.2325,39.9086,Guest House HESADA
696,Suchiate,MX,75.2,clear sky,14.55,-92.2167,Hospedaje
700,Tucuman,AR,69.8,mist,-26.8241,-65.2226,Dallas Hotel Tucuman
705,Malanje,AO,62.31,overcast clouds,-9.5402,16.340999999999998,Malanje Hotel
