City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Padang,ID,2021-01-30 19:55:51,-0.9492,100.3543,76.75,77,100,4.94
171,Chokurdakh,RU,2021-01-30 19:55:51,70.6333,147.9167,-28.95,86,36,7.52
172,Georgetown,MY,2021-01-30 19:55:51,5.4112,100.3354,78.8,83,20,3.44
173,Makokou,GA,2021-01-30 19:55:51,0.5738,12.8642,71.87,93,100,2.59
174,Grand Gaube,MU,2021-01-30 19:55:51,-20.0064,57.6608,79.0,82,0,3.0
175,Coquimbo,CL,2021-01-30 19:55:51,-29.9533,-71.3436,66.2,82,75,13.8
176,Kozan,TR,2021-01-30 19:55:52,37.4552,35.8157,46.4,100,75,20.71
177,Belaya Gora,RU,2021-01-30 19:55:52,68.5333,146.4167,-31.59,84,100,2.86
178,Tasiilaq,GL,2021-01-30 19:55:52,65.6145,-37.6368,17.6,35,75,18.41
179,Guerrero Negro,MX,2021-01-30 19:55:52,27.9769,-114.0611,64.2,48,0,15.64
180,Bereda,ES,2021-01-30 19:55:52,43.2686,-7.5406,48.0,95,100,11.99
181,Wanning,CN,2021-01-30 19:55:52,18.8003,110.3967,67.82,87,66,8.39
182,Joshimath,IN,2021-01-30 19:55:52,30.5667,79.5667,38.86,37,0,4.74
183,Yuanping,CN,2021-01-30 19:55:52,38.7153,112.7575,27.32,78,66,0.56
184,Yarada,IN,2021-01-30 19:55:53,17.65,83.2667,73.4,94,40,2.3
185,Linjiang,CN,2021-01-30 19:55:53,41.8069,126.9078,5.18,85,99,1.68
186,Yagodnoye,RU,2021-01-30 19:55:53,62.55,149.6667,-26.79,82,100,4.16
187,Codrington,AU,2021-01-30 19:55:53,-38.2667,141.9667,58.35,72,94,5.66
188,Tecoanapa,MX,2021-01-30 19:55:53,16.5167,-98.75,85.03,55,98,10.92
189,Nyurba,RU,2021-01-30 19:55:53,63.2842,118.3319,-37.98,81,100,2.01
190,Ust-Shonosha,RU,2021-01-30 19:55:53,61.1531,41.343,22.17,97,100,6.62
191,Osa,RU,2021-01-30 19:55:53,57.2829,55.4567,25.61,97,100,12.39
192,Senovo,SI,2021-01-30 19:55:53,46.0236,15.4769,41.0,93,100,2.3
193,Upata,VE,2021-01-30 19:55:54,8.0086,-62.3989,82.99,76,49,5.01
194,Kamenka,RU,2021-01-30 19:55:54,51.3223,42.7678,34.0,96,100,12.37
195,Auki,SB,2021-01-30 19:55:54,-8.7676,160.7034,80.08,84,100,12.68
196,Russell,US,2021-01-30 19:51:11,32.3502,-85.1999,60.01,38,90,9.22
197,Khash,IR,2021-01-30 19:55:54,28.2211,61.2158,53.13,40,0,8.05
198,Boa Vista,BR,2021-01-30 19:55:09,2.8197,-60.6733,91.4,46,75,8.05
199,Galle,LK,2021-01-30 19:55:54,6.0367,80.217,76.89,85,99,2.39
200,Cabo San Lucas,MX,2021-01-30 19:55:54,22.8909,-109.9124,77.0,60,1,8.05
201,Cidreira,BR,2021-01-30 19:55:55,-30.1811,-50.2056,80.29,83,58,9.44
202,Thompson,CA,2021-01-30 19:51:21,55.7435,-97.8558,14.0,85,90,2.3
203,Morehead,US,2021-01-30 19:55:55,37.2711,-87.1764,46.4,49,90,11.5
204,Terrace,CA,2021-01-30 19:55:55,54.5163,-128.6035,23.0,68,90,21.85
205,Hualmay,PE,2021-01-30 19:55:55,-11.0964,-77.6139,76.78,63,58,13.91
206,Totness,SR,2021-01-30 19:55:55,5.8833,-56.3167,78.57,88,99,11.88
207,Tobias Barreto,BR,2021-01-30 19:55:55,-11.1839,-37.9983,82.72,58,100,14.07
208,San Andres,CO,2021-01-30 19:55:55,12.5847,-81.7006,86.0,66,40,23.02
209,Bathsheba,BB,2021-01-30 19:55:56,13.2167,-59.5167,84.2,58,20,17.27
210,Ust-Tarka,RU,2021-01-30 19:55:56,55.5672,75.705,0.55,93,100,11.81
211,Portland,US,2021-01-30 19:53:46,45.5234,-122.6762,48.0,76,90,14.97
212,Girau Do Ponciano,BR,2021-01-30 19:55:56,-9.8842,-36.8289,82.22,62,95,13.02
213,Sao Filipe,CV,2021-01-30 19:55:56,14.8961,-24.4956,75.85,56,100,8.43
214,San Quintin,MX,2021-01-30 19:55:56,30.4833,-115.95,60.93,53,0,6.69
215,Kautokeino,NO,2021-01-30 19:55:56,69.0125,23.0412,14.56,95,100,14.09
216,Saint-Pierre,RE,2021-01-30 19:55:56,-21.3393,55.4781,78.8,65,0,4.61
217,Kathu,TH,2021-01-30 19:55:22,7.9178,98.3332,75.2,88,20,3.44
218,Iqaluit,CA,2021-01-30 19:55:57,63.7506,-68.5145,-7.01,71,20,18.41
219,Los Llanos De Aridane,ES,2021-01-30 19:55:57,28.6585,-17.9182,64.4,77,75,13.8
220,North Battleford,CA,2021-01-30 19:55:57,52.7834,-108.2847,10.4,72,90,2.3
221,Sulangan,PH,2021-01-30 19:55:57,11.1373,123.7228,79.45,76,100,21.34
222,Saint Anthony,US,2021-01-30 19:55:57,45.0205,-93.218,33.01,64,90,9.22
223,Droitwich,GB,2021-01-30 19:55:57,52.2667,-2.15,37.0,100,98,17.49
224,Saint-Francois,FR,2021-01-30 19:55:57,46.4154,3.9054,48.2,81,75,5.75
225,Pangnirtung,CA,2021-01-30 19:55:57,66.1451,-65.7125,-9.4,77,1,2.3
226,Ilulissat,GL,2021-01-30 19:55:57,69.2167,-51.1,5.0,56,75,1.14
227,Eureka,US,2021-01-30 19:55:57,40.8021,-124.1637,55.99,59,87,10.0
228,Peniche,PT,2021-01-30 19:54:01,39.3558,-9.3811,57.0,73,70,11.01
229,College,US,2021-01-30 19:51:52,64.8569,-147.8028,-5.8,71,90,0.63
230,Beaver Falls,US,2021-01-30 19:55:58,40.752,-80.3192,32.0,55,1,4.61
231,Carnarvon,AU,2021-01-30 19:55:58,-24.8667,113.6333,80.6,94,25,11.5
232,Kavieng,PG,2021-01-30 19:55:58,-2.5744,150.7967,82.17,76,100,14.97
233,Manaure,CO,2021-01-30 19:55:58,11.7751,-72.4445,86.0,49,0,21.05
234,Port Hawkesbury,CA,2021-01-30 19:55:58,45.6169,-61.3485,28.0,80,90,13.8
235,Sitka,US,2021-01-30 19:55:59,57.0531,-135.33,39.2,60,40,9.22
236,Seguela,CI,2021-01-30 19:55:59,7.9611,-6.6731,87.82,30,64,4.29
237,Half Moon Bay,US,2021-01-30 19:55:59,37.4636,-122.4286,57.99,58,75,6.91
238,Nikolskoye,RU,2021-01-30 19:55:59,59.7035,30.7861,28.4,93,75,4.47
239,Yendi,GH,2021-01-30 19:55:59,9.4427,-0.0099,84.96,14,0,4.83
240,Claremorris,IE,2021-01-30 19:52:28,53.7167,-9.0,39.99,21,100,1.01
241,Misratah,LY,2021-01-30 19:55:59,32.3754,15.0925,65.84,55,0,7.63
