City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
481,Saint Anthony,US,45.0205,-93.218,30.99,86,90,8.05,overcast clouds
482,Maragogi,BR,-9.0122,-35.2225,77.34,82,100,6.64,overcast clouds
483,Dosso,NE,13.049,3.1937,67.37,22,20,9.28,few clouds
484,Mutsu,JP,41.2894,141.2169,24.8,68,75,13.8,snow
485,Neuquen,AR,-38.9516,-68.0591,64.4,63,40,6.91,scattered clouds
486,Husavik,IS,66.0449,-17.3389,14.0,79,90,4.61,overcast clouds
487,Tessalit,ML,20.1986,1.0114,60.08,26,0,9.55,clear sky
488,Teguldet,RU,57.3064,88.1667,-27.24,84,3,6.08,clear sky
489,Klaksvik,FO,62.2266,-6.589,32.0,69,75,18.41,light snow
490,Livingston,GB,55.9029,-3.5226,35.6,87,90,4.61,overcast clouds
491,Nanortalik,GL,60.1432,-45.2371,29.14,90,100,6.55,overcast clouds
492,Salina,US,38.8403,-97.6114,35.6,87,90,28.77,overcast clouds
493,Bagotville,AU,-28.9833,153.4167,82.4,69,90,11.5,overcast clouds
494,Thaba-Tseka,LS,-29.522,28.6084,50.99,63,0,1.43,clear sky
495,Grants Pass,US,42.439,-123.3284,45.0,100,90,3.69,mist
496,La Joya,MX,18.6667,-99.4667,75.0,45,94,4.65,overcast clouds
497,Waingapu,ID,-9.6567,120.2641,84.56,71,100,16.8,overcast clouds
498,Bellegarde-Sur-Valserine,FR,46.1079,5.8242,41.0,93,75,5.75,broken clouds
499,Vestmannaeyjar,IS,63.4427,-20.2734,32.09,93,95,16.64,overcast clouds
500,Qesarya,IL,32.5189,34.9046,57.2,51,0,12.66,clear sky
501,North Bend,US,43.4065,-124.2243,48.2,100,90,7.31,overcast clouds
502,Ozerki,RU,57.6167,39.8833,24.8,86,90,6.71,snow
503,Chapais,CA,49.7834,-74.8492,-5.8,84,90,4.61,overcast clouds
504,Eyrarbakki,IS,63.863,-21.1481,19.4,53,0,8.05,clear sky
505,Wilmington,US,34.2257,-77.9447,43.0,52,90,4.61,overcast clouds
506,Visnes,NO,59.3556,5.2242,23.0,93,20,5.75,light rain
507,Faya,SA,18.3851,42.4509,51.8,66,0,2.82,clear sky
508,Homer,US,59.6425,-151.5483,28.0,74,1,6.22,clear sky
509,Bolobo,CD,-2.1667,16.2333,70.12,95,100,5.12,light rain
510,Bahir Dar,ET,11.5936,37.3908,61.29,53,5,3.76,clear sky
511,Tokat,TR,40.4167,36.5833,25.93,100,100,6.44,light snow
512,Kinkala,CG,-4.3614,14.7644,69.8,100,20,1.14,few clouds
513,Cayambe,EC,0.05,-78.1333,53.6,87,0,6.91,clear sky
514,Vittorio Veneto,IT,45.9767,12.3033,43.0,83,100,5.99,moderate rain
515,Jacksonville,US,30.3322,-81.6556,53.6,87,40,3.44,scattered clouds
516,Diofior,SN,14.1833,-16.6667,69.8,64,0,11.5,clear sky
517,San Quintin,MX,30.4833,-115.95,56.79,78,0,6.26,clear sky
518,Aquiraz,BR,-3.9014,-38.3911,80.6,83,20,11.5,few clouds
519,Puerto Suarez,BO,-18.95,-57.8,77.5,72,1,3.71,clear sky
520,Seminole,US,28.7086,-81.2081,62.01,67,1,6.91,clear sky
521,Shasta Lake,US,40.6804,-122.3708,46.0,89,99,2.8,overcast clouds
522,Elko,US,41.0002,-115.5012,28.99,74,0,2.77,clear sky
